시도교육청,교육지원청,지역,학교명
교육부,서울특별시강남서초교육지원청,서울특별시 서초구,서울교육대학교부설초등학교
교육부,교육부,서울특별시 종로구,서울대학교사범대학부설초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개원초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개일초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개포초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울구룡초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울논현초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대곡초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대도초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대모초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대왕초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대진초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대청초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대치초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대현초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울도곡초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울도성초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울반원초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울반포초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울방배초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울방일초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울방현초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울봉은초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울삼릉초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서래초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서원초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서이초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서일초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서초초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울수서초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울신구초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울신동초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울신중초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울압구정초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울양재초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울양전초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울언남초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울언북초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울언주초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울역삼초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울영희초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울왕북초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울우암초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울원명초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울원촌초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울이수초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울일원초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울잠원초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울청담초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울포이초등학교
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울학동초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울가동초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울가락초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울가원초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울가주초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울강덕초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울강동초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울강일초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울거여초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울거원초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울고덕초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울고명초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울고일초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울길동초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울남천초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울대명초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울둔촌초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울마천초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울명덕초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울명원초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울명일초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울묘곡초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울문덕초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울문정초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울방산초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울방이초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울삼전초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울상일초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울석촌초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울선린초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울선사초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울성내초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울성일초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울세륜초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울송전초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울송파초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울신가초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울신명초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울신암초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울신천초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울아주초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울영풍초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울오금초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울오륜초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,서울위례초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울잠동초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울잠신초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울잠실초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울잠일초등학교
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울잠전초등학교
