영역1,영역2,영역3,영역4,날짜
주어진 주제에 대한 타당한 근거와 뒷받침 자료를 제시하여 설득력 높은 주장하는 글을 쓸 수 있음.,우리나라에서 사용되는 다양한 속담과 그 의미를 알고 상황에 따라서 적절하게 속담을 사용할 수 있음.,글을 읽고 배경지식을 활용하여 글쓴이가 처한 상황과 마음을 이해할 수 있음.,,2024-03-11
주어진 주제와 관련된 적절한 근거를 제시하고 어울리는 뒷받침 자료를 활용하여 주장하는 글을 씀.,다양한 속담을 알고 일상생활 속에서 적절하게 속담을 선택하여 사용할 수 있음.,주어진 글의 내용을 통해 글쓴이의 상황을 파악하고 이를 바탕으로 글쓴이의 마음을 이해할 수 있음.,,2024-03-18
주제와 관련하여 자신의 주장을 제시할 수 있으며 이에 어울리는 근거와 뒷받침 자료를 활용하여 설득력을 높일 수 있음.,다양한 속담의 의미와 가치를 알고 실생활의 다양한 상황에서 알맞은 속담을 사용함.,글의 맥락과 배경지식을 결합하여 글쓴이의 입장과 감정을 이해하고 이를 글로 표현할 수 있음.,,2024-03-25
자신의 주장을 제시하면서 타당한 근거를 다양하게 제시하고 각 근거에 어울리는 자료를 활용할 수 있음.,일상생활에서 겪는 일의 경우 별로 어울리는 속담을 찾아 알맞게 사용할 수 있음.,글을 읽으며 글쓴이의 상황과 감정을 추론하고 이를 바탕으로 글쓴이의 의도를 이해할 수 있음.,,2024-04-01
자신의 주장에 대해 타당한 근거를 들어 설명 가능하며 어울리는 자료를 찾아 활용하여 자신의 주장과 근거를 뒷받침할 수 있음.,속담을 사용할 때의 효과를 알고 일상생활의 다양한 상황에서 적당한 속담을 골라 표현할 수 있음.,배경지식을 활용하여 글쓴이의 상황을 보다 깊이 있게 이해하고 이를 통해 글쓴이의 감정을 공감할 수 있음.,,2024-04-08
글을 읽고 주장에 대한 근거의 타당성을 파악할 수 있고 주제에 대한 자신의 주장을 펼치는 글쓰기에서 주장과 어울리는 타당한 근거를 제시함.,속담으로 자신의 기분이나 생각을 표현하는 것의 효과를 알고 실생활에서 알맞게 속담을 사용할 수 있음.,"글을 읽고 배경지식을 활용하여 글쓴이가 겪고 있는 상황을 구체적으로 이해하고, 이를 바탕으로 글쓴이의 감정을 이해할 수 있음.",,2024-04-15
타당성을 고려하여 자신의 주장과 어울리는 근거를 제시하여 설득력 있는 주장하는 글을 쓸 수 있음.,속담을 사용하여 자신의 기분이나 생각을 표현하는 것이 효과적임을 알고 실생활에서 ,글쓴이의 상황을 이해하기 위해 배경지식을 활용하고 이를 통해 글쓴이의 마음을 깊이 있게 이해할 수 있음.,,2024-04-22
주장하는 글을 쓸 때 주장과 어울리는 근거와 자료를 제시하여 타당성 있고 설득력을 높임.,실생활에서 자신의 생각이나 기분을 적절할 속담을 골라 표현할 수 있음.,"글의 내용을 바탕으로 배경지식을 활용하여 글쓴이의 처한 상황을 구체적으로 이해하고, 글쓴이의 감정을 파악할 수 있음.",,2024-04-29
주장을 뒷받침할 수 있는 근거를 제시하고 이와 어울리는 자료를 구체적으로 설명하여 완성도 높은 주장하는 글을 쓸 수 있음.,본인이 가진 생각이나 기분을 속담을 활용하여 효과적으로 설명할 수 있음.,글을 읽고 글쓴이의 상황을 이해하기 위해 배경지식을 활용하여 글쓴이의 감정을 추론할 수 있음.,,2024-05-13
주제에 대한 자신의 생각을 타당한 근거를 들어 서술하며 주장하는 글을 쓸 수 있음.,생각이나 기분을 표현할 때 속담을 사용하면 효과적임을 알고 상황에 따라 다양한 속담을 활용할 수 있음.,"글쓴이의 상황을 이해하고 이를 바탕으로 글쓴이의 마음을 이해하며, 이러한 이해를 바탕으로 글을 쓸 수 있음.",,2024-05-20
자신이 가지고 있는 생각을 적절한 근거와 뒷받침하는 자료를 활용하여 글로 서술하여 주장하는 글을 씀.,여러 가지 속담을 알고 실생활에서 자신의 생각이나 느낌을 나타낼 때 속담을 활용하여 효과적으로 표현할 수 있음.,배경지식을 활용하여 글쓴이의 처한 상황과 감정을 구체적으로 이해하고 이를 바탕으로 글쓴이의 마음을 공감할 수 있음.,,2024-05-27
주장하는 글의 형식을 갖추고 자신의 주장을 충분히 뒷받침할 수 있는 근거와 자료를 활용하여 글을 씀.,여러 가지 속담을 활용하여 일상생활에서 자신의 생각을 효과적으로 표현할 수 있음.,"글을 읽고 배경지식을 활용하여 글쓴이의 상황과 감정을 이해하는 능력을 길러, 이를 글쓰기에 적용할 수 있음.",,2024-06-03
자신의 주장과 어울리는 근거와 다양한 자료를 활용하여 주장하는 글의 형식에 맞게 글을 쓸 수 있음.,자신의 기분이나 느낌을 효과적으로 묘사하기 위해 속담을 활용할 수 있음.,글의 내용을 바탕으로 배경지식을 활용하여 글쓴이의 처한 상황과 감정을 깊이 있게 이해하고 이를 바탕으로 글을 쓸 수 있음.,,2024-06-10
자신의 주장이 설득력을 갖추도록 타당한 근거와 다양한 자료를 제시하며 주장하는 글을 씀.,속담을 사용할 때 기대할 수 있는 효과를 알고 실생활의 대화 맥락에서 적절하게 속담을 사용할 수 있음.,배경지식을 활용하여 글쓴이의 상황과 마음을 이해하고 이를 바탕으로 글쓴이의 의도와 감정을 파악할 수 있음.,,2024-06-17
,,,,2024-06-24
,,,,2024-07-01
